#CODE;RUSSIAN;x
INSULT_PIGFACE;хрюшка;x #child
EVTOPTB_RIP_12058_TOOLTIP;[captured_sneaker.GetFirstName] заберёт свои вещи и уйдет.\n\n;x
EVTOPTC_RIP_12058;Пош[captured_sneaker.GetLaYol] прочь из моих покоев, извращен[captured_sneaker.GetKaEts]!;x
EVTOPTC_RIP_12058_TOOLTIP;[captured_sneaker.GetBestName], покраснев от стыда, выбежит из комнаты.\n\n;x
EVTDESC_RIP_12059_A;Толпа мятежников хором прокричала "[captured_sneaker.GetBestName]" - имя их лидера, и Вы бросились в бой, при поддержке стражи убивая всех на своём пути. Да, они проникли в замок, но здесь у них нет шансов. Хорошо вооружённые солдаты быстро расправились с ними. Жизнь в очередной раз напомнила Вам, что доверие - роскошь, которую правитель редко может себе позволить.;x
EVTDESC_RIP_12059_B;Толпа мятежников хором прокричала "[captured_sneaker.GetBestName]" - имя их лидера, и Вы бросились в бой, при поддержке стражи убивая всех на своём пути. Да, они проникли в замок, но дальше им не пройти! С хорошо вооружёнными солдатами Вы не оставили им шанса на успех. Расправившись с бунтовщиками, Вы наконец вздохнули с облегчением - суровые времена нам всем приходится переживать...;x
EVTOPTA_RIP_12059;Это вовсе не выглядит, как победа.;x
EVTOPTA_RIP_12059_TOOLTIP;Мятежники уничтожены\n\n;x
crusched_rebels_from_seclusion;Подавил восстание в изоляции;x
EVTDESC_RIP_12063_A;Как же они смогли проникнуть в замок? Это [Root.GetTreasurerName] [secluded_steward.GetFirstName]? Или т[captured_sneaker.GetEtaEtot] [captured_sneaker.GetAgedPerson], котор[captured_sneaker.GetUyuOgo] Вы впустили недавно? Теперь хаос повсюду, крестьяне крушат всё на своём пути. Стража лучше вооружена, но их слишком много...;x
EVTDESC_RIP_12063_B;Это всё т[captured_sneaker.GetEtaEtot] [captured_sneaker.GetAgedPerson], котор[captured_sneaker.GetUyuOgo] Вы впустили недавно, [captured_sneaker.GetSheHe] наверняка как-то связан[captured_sneaker.GetEndA] с мятежниками. Хаос в самом разгаре, стражники подготовлены и вооружены, но крестьян слишком много, раненых всё больше...;x
EVTOPTA_RIP_12063;Какой кошмар.;x
EVTOPTA_RIP_12063_TOOLTIP;[captured_sneaker.GetBestName]! Эта крыса воспользовалась беспорядками и сбежала!\n\n;x
EVTOPTB_RIP_12063;Какой кошмар.;x
EVTOPTB_RIP_12063_TOOLTIP;[captured_sneaker.GetBestName]... возможно у н[captured_sneaker.GetHersHis] были планы действий, но темница не позволила им реализоваться\n\n;x
suspected_assassin;Подозревается в убийстве;x
survived_assassination;Уничтожил убийцу;x
EVTDESC_RIP_12064;Когда дверь медленно начала открываться, Вы уже были готовы нанести удар. Фигура в капюшоне вошла в комнату, но Вы ждали удобного момента. Убийца повернулся, один резкий удар ножом в спину решил его судьбу.;x
EVTOPTA_RIP_12064;[captured_sneaker.GetFirstName]?! Вот [captured_sneaker.GetBitchBastard]!;x
EVTOPTA_RIP_12064_TOOLTIP;Вам удалось выжить и уничтожить убийцу\n\n;x
EVTDESC_RIP_12065;Дверь медленно начала открываться, но Вы уже были готовы нанести удар. Когда фигура в капюшоне оказалась в комнате, Вы бросились в атаку, завязалась борьба. Вскоре убийца одержал верх и ранил Вас, но крики подняли стражу и Вам удалось избежать смерти.;x
EVTOPTA_RIP_12065;[captured_sneaker.GetFirstName]?!;x
EVTOPTA_RIP_12065_TOOLTIP;Вам удалось избежать смерти, но Вы серьёзно ранены\n\n;x
EVTDESC_RIP_12066;Затаившись в комнате, Вы были готовы нанести удар, но никто так и не открыл дверь. Ваши нервы были уже на пределе, и вдруг Вы услышали что-то позади. Обернувшись, Вы увидели знакомое лицо. Это [captured_sneaker.GetBestName]! Но [captured_sneaker.GetHersHis] кинжал уже пронзил Ваше сердце.;x
EVTOPTA_RIP_12066;Ты?! НЕЕЕТ!..;x
EVTOPTA_RIP_12066_TOOLTIP;Убийца покидает Ваш двор, успешно выполнив своё задание\n\n;x
opinion_budding_romance;Многообещающий роман;x
peasant_leader_desc;Эт[_от] [__персонаж] - крестьян[_ин], котор[_ый] восстал[_] против своих господ.;x
EVTDESC_RIP_13500;Придворный [Root.Religion.GetPriestTitle] сообщил мне о беспорядках на наших землях. Недавняя эпидемия вызвала беспокойство среди местных жителей, всё чаще говорят, что это [Root.Religion.GetRandomEvilGodName] посылает нам испытания. Некоторые даже утверждают, что это моя вина - я слишком редко хожу в храм.;x
EVTOPTA_RIP_13500;Они правы. Я буду делать это чаще.;x
EVTOPTA_RIP_13500_TOOLTIP;Вы будете посещать храм дважды в день.\n;x
EVTOPTB_RIP_13500;Это риск заражения, пошлите двойника.;x
EVTOPTB_RIP_13500_TOOLTIP;Пусть [Root.GetSpymasterName] §Y[hindu_spymaster.GetFirstName]§! наймёт актёра, чтобы тот посещал храм дважды в день.\n;x
EVTOPTC_RIP_13500;Я возведу им новый.;x
EVTOPTC_RIP_13500_TOOLTIP;Построить новый [Root.Capital.County.GetAdjective]ский храм.\n;x
EVTOPTD_RIP_13500;Я - [Root.GetTitle]! Мне лучше знать.;x
EVTOPTD_RIP_13500_TOOLTIP;Позволить беспорядкам продолжаться.;x
EVTDESC_RIP_13501_A;Я кладу святой базилик на ступени храма, зажигаю дию и читаю мантры ради просветления Шивы. Мои подданные заметили, что теперь я делаю это чаще, но главное, я вновь чувствую особую связь со своим богом-покровителем.;x
EVTDESC_RIP_13501_B;Я кладу святой базилик на ступени храма, зажигаю дию и произношу священные слова в честь Вишну. Мои подданные заметили, что теперь я делаю это чаще, но главное, я вновь чувствую особую связь со своим богом-покровителем.;x
EVTDESC_RIP_13501_C;Я кладу святой базилик на ступени храма, зажигаю дию и фокусирую эмоции на Брахме, творце всего сущего. Мои подданные заметили, что теперь я делаю это чаще, но главное, я вновь чувствую особую связь со своим богом-покровителем.;x
EVTDESC_RIP_13501_D;Я кладу святой базилик на ступени храма, зажигаю произношу чант во имя Кали. Мои подданные заметили, что теперь я делаю это чаще, но главное, я вновь чувствую особую связь со своей покровительницей, богиней времени.;x
EVTDESC_RIP_13501_E;Я кладу святой базилик на ступени храма, зажигаю дию и читаю мантры в имя Ганеши. Мои подданные заметили, что теперь я делаю это чаще, но главное, я вновь чувствую особую связь со своим мудрым богом-покровителем.;x
EVTDESC_RIP_13501_F;Я кладу святой базилик на ступени храма, зажигаю дию и читаю мантры. Мои подданные заметили, что теперь я делаю это чаще, но главное, я вновь чувствую особую связь со своим богом-покровителем, Гангой.;x
EVTDESC_RIP_13501_G;Я кладу святой базилик на ступени храма, зажигаю дию и читаю мантры во имя [Root.GetReligionHighGodGEN]. Мои подданные заметили, что теперь я делаю это чаще, но главное, я вновь чувствую особую связь с богами.;x
EVTOPTA_RIP_13501;Я молю богов, чтобы они тоже были довольны.;x
EVTDESC_RIP_13502;Мой человек регулярно посещает храм, чтобы успокоить простых людей. Иногда я даже задаюсь вопросом, как смотрит [Root.Religion.GetHighGodName] на то, что я обманываю свой народ, но совет со мной согласен - кому будет лучше, если [Root.GetTitle] заболеет?;x
EVTOPTA_RIP_13502;Что ж, будем продолжать этот спектакль.;x
EVTOPTA_RIP_13502_TOOLTIP;В зависимости от Вашего коварства простолюдины смогут или не смогут полностью успокоиться.\n\n;x
EVTOPTB_RIP_13502;Лучше остановиться, пока не поздно.;x
EVTOPTB_RIP_13502_TOOLTIP;Вы прекратите обман.\n\n;x
devoted_worshiper;Преданный почитатель;x
EVTDESC_RIP_13503;Перед лицом беды, терзающей наши земли, [Root.Capital.County.GetAdjective]ские жители увидели пример в сво[Root.GetEyYom] праведн[Root.GetOyOm] правител[Root.GetSoftNitseE], а одна семья даже послала своего единственного ребёнка служить мне...;x
EVTOPTA_RIP_13503;Эт[zealous_child.GetEtaEtot] [zealous_child.GetLadLass] станет хорош[zealous_child.GetEyIm] слугой.;x
EVTOPTA_RIP_13503_TOOLTIP;Ребёнок по имени §Y[zealous_child.GetBestName]§! появится при Вашем дворе.\n§YГражданские беспорядки§! прекратятся во всех личных землях\n;x
EVTOPTB_RIP_13503;Я не ищу славы и не стану отрывать ребёнка от семьи.;x
EVTOPTB_RIP_13503_TOOLTIP;Преподнести семье ребёнка подарок, рекомендуя отправить его в храм на обучение.\n§YГражданские беспорядки§! прекратятся на всех личных землях\n;x
EVTDESC_RIP_13504;Местные раскрыли мой обман! Они обили двойника и подожгли храм! Теперь они думают, что боги, как и я, покинули их.;x
EVTOPTA_RIP_13504;Да как они посмели?!;x
EVTOPTA_RIP_13504_TOOLTIP;Личные земли получат модификатор §Yразъярённые крестьяне§! на 10 лет, что даст следующие эффекты:\nМестный риск восстаний: §R+25.0%§!\nМестный сбор налогов: §R-75.0%§!\n;x
EVTOPTB_RIP_13504;Я уволю сво[Root.job_spymaster.GetYuEgo] тайн[Root.job_spymaster.GetUyuOgo] советни[Root.job_spymaster.GetTsuKa]!;x
EVTOPTB_RIP_13504_TOOLTIP;Заявить, что всему виной [Root.GetSpymasterName]!\n\n;x
failed_temple_ruse;Коварный правитель;x
fake_worshiper;Посещение храма;x
fake_worshiper_felt_guilty;Посещение храма;x
EVTDESC_RIP_13505;Двойники, нанятые мной, совсем на меня не похожи, но простолюдины никогда не видели меня, поэтому нет ничего удивительного в том, что эт[Root.GetEtaEtot] самозван[Root.GetKaEts] воспринимается ими как настоящ[Root.GetAyaIy] [Root.GetTitle].;x
EVTOPTA_RIP_13505;Обожаю розыгрыши.;x
EVTOPTA_RIP_13505_TOOLTIP;§YГражданские беспорядки§! прекратятся на всех личных землях\n;x
EVTOPTB_RIP_13505;Если бы не [Root.GetSpymasterName], ничего бы не вышло.;x
opinion_was_praised;Похвала за профессионализм;x
EVTDESC_RIP_13506;Моя речь о том, что боги требуют от нас усердия, достаточно напугали простой народ - они и так работают без устали, а эпидемия подгоняет ещё больше. Некоторые даже стали саботировать строительство. Тех, кого удалось поймать с поличным, привели ко мне.;x
EVTOPTA_RIP_13506;Разрушать храм? Неслыханно! Казните этих вандалов!;x
EVTOPTA_RIP_13506_TOOLTIP;Казнить уличных смутьянов и поднять дух Ваших рабочих.\n\n§YГражданские беспорядки§! прекратятся на всех личных землях\n;x
EVTOPTB_RIP_13506;Им нужен новый дом - в темнице!;x
EVTOPTB_RIP_13506_TOOLTIP;Бросить вандалов в темницу.\n\n;x
EVTOPTC_RIP_13506;Они же ещё дети!;x
EVTOPTC_RIP_13506_TOOLTIP;Пощадить ребят. §Y[vagrant_child_1.GetBestName]§! и §Y[vagrant_child_2.GetBestName]§! присоединятся к Вашему двору.\n\nЛичные земли получат модификатор §Yразъярённые крестьяне§! на 10 лет, что даст следующие эффекты:\nМестный риск восстаний: §R+25.0%§!\nМестный сбор налогов: §R-75.0%§!\n;x
EVTDESC_RIP_13507_A;Строительство храма завершено закончен, люди вздохнули с облегчением. [Root.Religion.GetRandomEvilGodNameCap] больше не сможет помешать мне. Боги теперь довольны.;x
EVTDESC_RIP_13507_B;Место, на котором я планировал[Root.GetEndA] строить храм уже занято! Инженеры и каменщики увидели возможность лёгкой наживы и "забыли" сообщить мне об этом. К счастью у меня есть [Root.GetTreasurerName], чтобы разбираться в подобных ситуациях - я получил[Root.GetEndA] небольшую компенсацию.;x
EVTOPTA_RIP_13507;Некоторые работают куда лучше под давлением.;x
EVTOPTA_RIP_13507_TOOLTIP;Модификатор §Yразъярённые крестьяне§! будет снят со всех Ваших земель.\n;x
EVTOPTB_RIP_13507;Вот же невехуха!;x
EVTOPTB_RIP_13507_TOOLTIP;Ваша попытка успокоить крестьян потерпела неудачу.;x
EVTDESC_RIP_13508_A;[vagrant_child_1.GetBestName] был[vagrant_child_1.GetEndA] найден[vagrant_child_1.GetEndA] сегодня в стойлах на месте строительства храма. [vagrant_child_1.GetHersHisCap] [vagrant_child_2.GetBrotherSister] сказал[vagrant_child_2.GetEndA], что [vagrant_child_1.GetSheHe] ходил туда играть со слоном, но тот взбесился и покалечил [vagrant_child_1.GetHersHis]. Строители решили, что проект проклят и прекратили работы!;x
EVTOPTA_RIP_13508;Вот м[vagrant_child_1.GetBratLong]! Зачем я только приютил[Root.GetEndA] [vagrant_child_1.GetHersHis]?;x
EVTOPTA_RIP_13508_TOOLTIP;Ваши попытки подавить крестьянские беспорядки завершились неудачей;x
EVTDESC_RIP_13508_B;На месте строительства храма сегодня были беспорядки - слоны взбесились в стойлах и стали крушить всё вокруг! Несколько рабочих погибло, а выжившие отказались возобновить работу. Они сказали, что этот проект проклят!;x
EVTOPTB_RIP_13508;Суеверные неудоумки! А как же мои деньги?;x
EVTNAME_RIP_15100;Bсадни[EoD_doomsday_prophet.GetTsaK] на белой лошади;x
EVTDSC_RIP_15100;Надежные источники утверждают, что кто-то из знати объявил себя воплощением [Root.GetReligionHighGodGEN] - эт[EoD_doomsday_prophet.GetUOgo] [EoD_doomsday_prophet.GetAgedPersonACC] называют "Бел[EoD_doomsday_prophet.GetAyaYy] всадни[EoD_doomsday_prophet.GetTsaK]". Месяцами эт[EoD_doomsday_prophet.GetEtaEtot] предатель[EoD_doomsday_prophet.GetEndNitsa] собирал[EoD_doomsday_prophet.GetEndA] войско для своего похода против мира живых. По слухам [EoD_doomsday_prophet.GetSheHe] ростом семь футов, а [EoD_doomsday_prophet.GetHersHis] голос заставляет дрожать землю под ногами.\nКак бы то ни было, самозван[EoD_doomsday_prophet.GetKaEts] обрел[EoD_doomsday_prophet.GetEndA] внушительную поддержку без раскрытия своей личности, и это прямо под Вашим носом!;x
EVTOPTA_RIP_15100;Расследуйте! Я долж[Root.GetNaEn] знать, кто за этим стоит.;x
EVTDSC_RIP_15101;Весь Ваш двор полон идеями о наступлении новой эры - праведники обретут спасение через огонь! Расследуя историю с Бел[EoD_doomsday_prophet.GetOyYm] всадни[EoD_doomsday_prophet.GetTseyKom], Вы можете пролить свет на эту ситуацию, или... просто поддержать всё это мракобесие.;x
EVTOPTA_RIP_15101;Приправлю свою речь лошадиными каламбурами.;x
EVTOPTB_RIP_15101;Расскажу им о том, как опасна ересь.;x
EVTOPTC_RIP_15101;Буду угрожать каждому, кто сочувствует [EoD_doomsday_prophet.GetHerHim]!;x
EVTDSC_RIP_15103_A;Дорог[Root.GetAyaOy] [Root.GetFirstName].\nДо меня дошли тревожные слухи. Местные жители и правда верят, что пришёл конец света? Этот культ распространяется, как пожар. Прошу, остановите это безумие, пока не поздно.\nС уважением,\n [From.GetTitledName];x
EVTDSC_RIP_15103_B;Уважаем[Root.GetAyaYy] [Root.GetTitledName].\nДурные вести приходят из Ваших земель. Мои придворные утверждают, что культ конца света растёт день ото дня, это правда? Я смиренно прошу Вас пресечь это безумие, пока ещё можно.\nИскренне Ваш[From.GetEndA],\n [From.GetTitledName];x
EVTDSC_RIP_15103_C;[Root.GetTitledFirstName],\nдо меня дошли слухи... Это правда, что Ваше некомпетентное правление породило культ конца света? Надеюсь, эти мракобесы доберутся до Вас. А я, пожалуй, займу место в первом ряду и ни за что не пропущу этот спектакль!\nПреисполненн[From.GetAyaYy] злорадством,\n [From.GetTitledName];x
EVTOPTA_RIP_15103;Проклятье!;x
EVTOPTB_RIP_15103;Я понимаю.;x
EVTOPTC_RIP_15103;[GetRootFromInsult]!;x
EVTDSC_RIP_15104;Придворные в панике, где-то слышны крики. "В-войска, м[Root.GetOyaOy] [Root.GetLordLady], — встревоженно вымолвил напуганный до полусмерти слуга. — Они идут, они уже здесь!". На горизонте можно было увидеть многочисленные ряды солдат и... флаг Бел[EoD_doomsday_prophet.GetOyOgo] всадни[EoD_doomsday_prophet.GetTsyKa].;x
EVTOPTA_RIP_15104;Спокойно. Я поговорю с ними!;x
EVTOPTA_RIP_15104_TOOLTIP;Использовать навыки дипломатии, чтобы предотвратить кровопролитие.\n;x
EVTOPTB_RIP_15104;Никаких переговоров с бандитами!;x
EVTOPTB_RIP_15104_TOOLTIP;Ринуться в бой на встречу безумцам!\n;x
gave_funny_speech;Красноречие;x
gave_pious_speech;Духовный проводник;x
gave_scary_speech;Грозный правитель;x
EoD_UPRISING;[Root.GetRelAdj]ское возмездие;x
EVTDSC_RIP_15105;Стража привела лидера ко мне, т[EoD_doomsday_prophet.GetUOgo] сам[EoD_doomsday_prophet.GetUyuOgo] [EoD_doomsday_prophet.GetManWoman]у, котор[EoD_doomsday_prophet.GetAyaYy] беспокоил[EoD_doomsday_prophet.GetEndA] всю страну.\n"Пламя не тронет праведников. Если Вы чисты, Вам нечего бояться!" — громко и уверенно провозгласил[EoD_doomsday_prophet.GetEndA] [EoD_doomsday_prophet.GetSheHe].;x
EVTOPTA_RIP_15105;Хватит! Заключим сделку...;x
EVTOPTA_RIP_15105_TOOLTIP;Пусть §Y[EoD_doomsday_prophet.GetFirstName]§! распустит свои войска в обмен на титул.\n\n§YРелигиозная напряжённость§! прекратится на личных землях\n;x
EVTOPTB_RIP_15105;Уединение проясняет мысли.;x
EVTOPTB_RIP_15105_TOOLTIP;§Y[EoD_doomsday_prophet.GetFirstName]§! отправится в темницу - это должно [EoD_doomsday_prophet.GetHersHis] остудить.\n\n§YРелигиозная напряжённость§! прекратится на личных землях\n;x
EVTOPTC_RIP_15105;Сжечь ерети[EoD_doomsday_prophet.GetChkuKa]!;x
EVTOPTC_RIP_15105_TOOLTIP;§Y[EoD_doomsday_prophet.GetFirstName]§! получит по заслугам.\n\nЛичные земли получат модификатор §YПророка отправили на костёр§! на 1 год, что даст следующие эффекты:\nМестный риск восстаний: §R+10.0%§!\n;x
nick_the_survivor;Выживш[This.GetAyaIy];x
ordered_our_prophet_executed;Пророка отправили на костёр;x
EVTDSC_RIP_15106;Уважаем[Root.GetAyaYy] [Root.GetBestName],\nс этого момента я оставляю свою миссию. Вам следует знать, я никогда не хотел[EoD_doomsday_prophet.GetEndA] титулов, но Вы - не первый человек, который отказывается узреть правду, я помолюсь за Вас.\nИскренне Ваш[EoD_doomsday_prophet.GetEndA],\n [EoD_doomsday_prophet.GetFirstName];x
EVTOPTA_RIP_15106;Понятно.;x
EVTDSC_RIP_15107_A;[EoD_doomsday_prophet.GetFirstName], так называем[EoD_doomsday_prophet.GetAyaYy] Бел[EoD_doomsday_prophet.GetAyaYy] всадни[EoD_doomsday_prophet.GetTsaK], был[EoD_doomsday_prophet.GetEndA] найден[EoD_doomsday_prophet.GetEndA] повешенн[EoD_doomsday_prophet.GetOyYm] на дереве недалеко от столицы. Мне сказали, риск того, что [EoD_doomsday_prophet.GetSheHe] станет мучени[EoD_doomsday_prophet.GetTseyKom] минимален, но кто знает, я до сих пор не видел содержимое [EoD_doomsday_prophet.GetHersHis] предсмертной записки.;x
EVTDSC_RIP_15107_B;[EoD_doomsday_prophet.GetFirstName], так называем[EoD_doomsday_prophet.GetAyaYy] Бел[EoD_doomsday_prophet.GetAyaYy] всадни[EoD_doomsday_prophet.GetTsaK], был[EoD_doomsday_prophet.GetEndA] найден[EoD_doomsday_prophet.GetEndA] повешенн[EoD_doomsday_prophet.GetOyYm] на балке своей камеры. Мне сказали, риск того, что [EoD_doomsday_prophet.GetSheHe] станет мучени[EoD_doomsday_prophet.GetTseyKom] минимален, но кто знает, я до сих пор не видел содержимое [EoD_doomsday_prophet.GetHersHis] предсмертной записки.;x
EVTOPTA_RIP_15107;Прочесть записку.;x
EVTOPTB_RIP_15107;Выбросить записку.;x
EVTDSC_RIP_15108_A;Я долж[EoD_doomsday_prophet.GetNaEn] проверить свою теорию. Если я прав[EoD_doomsday_prophet.GetEndA] - останусь невредим[EoD_doomsday_prophet.GetEndA], но если Вы читаете это, я уже в руках [Root.GetReligionHighGodGEN], или дьявола и сош[EoD_doomsday_prophet.GetLaYol] с ума, а война судного дня уничтожила многих. Простите меня,\n [EoD_doomsday_prophet.GetBestName];x
EVTDSC_RIP_15108_B;Если Вы читаете это, я уже в руках [Root.GetReligionHighGodGEN], или дьявола. Так или иначе, это означает, что я ошиба[EoD_doomsday_prophet.GetLasLsya] и война судного дня уничтожила многих. Спасибо Вам, что остановили меня.\nМне очень жаль,\n [EoD_doomsday_prophet.GetBestName];x
EVTOPTA_RIP_15108;Ну что ж... Ладно.;x
EVTDSC_RIP_15109;Костер подожжён, языки пламени подбираются всё ближе, ещё немного и [EoD_doomsday_prophet.GetFirstName], лидер восстания судного дня, пройдёт своё испытание на праведность. Вдруг группа людей в капюшонах бросилась в атаку, выхватив кинжалы, они перерезали верёвки. В суматохе их пророку всё-таки удалось сбежать, теперь [EoD_doomsday_prophet.GetHersHis] зовут "Выживш[EoD_doomsday_prophet.GetAyaIy]".;x
EVTOPTA_RIP_15109;Ну вашу ж мать!;x
EVTDSC_RIP_15110;[Root.GetBestName],\nВы действовали именно так, как я ожидал[EoD_doomsday_prophet.GetEndA], в случившемся нет Вашей вины. Но даже [Root.Religion.GetRandomEvilGodName] не поможет Вам, если Вы сойдёте с истинного пути. Будьте бдительны и берегите свой народ.\nИскренне Ваш[EoD_doomsday_prophet.GetEndA],\n [EoD_doomsday_prophet.GetBestName];x
EVTOPTA_RIP_15110;Ладно.;x
EVTDSC_RIP_15111;Единственное, чего я хотел[Root.GetEndA], это проверить, что пророк судного дня, [EoD_doomsday_prophet.GetBestName], делает в темнице, но когда я прибыл[Root.GetEndA] туда, тюремщик лишь пробубнил что-то по поводу того, что "Бел[EoD_doomsday_prophet.GetAyaYy] всадни[EoD_doomsday_prophet.GetTsaK] куда-то пропал[EoD_doomsday_prophet.GetEndA]".;x
EVTOPTA_RIP_15111;А я теперь долж[Root.GetNaEn] поверить, что ты не выпускал [EoD_doomsday_prophet.GetHersHis]?!;x
EVTDSC_RIP_15113;[EoD_doomsday_prophet.GetBestName] быстро приспособи[EoD_doomsday_prophet.GetLasLsya] к жизни, которую я [EoD_doomsday_prophet.GetHerHim] устроил[Root.GetEndA]. Я даже подумываю о том, что вся эта беловсадническая дребедень были лишь способом привлечь внимание.;x
EVTOPTA_RIP_15113;[EoD_doomsday_prophet.GetSheHeCap] не так уж плох[EoD_doomsday_prophet.GetEndA], если узнать [EoD_doomsday_prophet.GetHersHis] поближе.;x
EVTOPTB_RIP_15113;Никогда не доверял[Root.GetEndA] это[EoD_doomsday_prophet.GetYMu] лицемер[EoD_doomsday_prophet.GetKeU].;x
escaped_execution;Избежал казни;x
friends_in_high_places;Друзья в высоких кругах;x
EVTDSC_RIP_15112;Я убил[Root.GetEndA] их всех.;x
EVTOPTA_RIP_15112;И мне почти стыдно.;x
EVTNAME_RIP_15115;Kонец не близок;x
EVTDSC_RIP_15115;Подняв свой меч, Вы повели войска в атаку на мятежных фанатиков. В пылу битвы Вы заметили [From.GetHersHis] - [From.GetFirstName], Бел[From.GetAyaYy] всадни[From.GetTsaK], пророк судного дня собственной персоной. Ваши взгляды пересеклись, и вскоре вы об[From.GetRootEndEA] оказались перед выбором - сразиться один на один или отступить.\nСейчас, оглядываясь назад, Вы жалеете, что не никто не воспел Вашу чудесную победу над т[From.GetOyEm], кто считал[From.GetEndA] себя непобедим[From.GetOyYm].;x
EVTOPTA_RIP_15115;Арестовать [From.GetHersHis]!;x
EVTNAME_RIP_15116;Kонец;x
EVTDSC_RIP_15116;С зажженным факелом, гордо подняв меч, Бел[From.GetAyaYy] всадни[From.GetTsaK] со своим святым воинством броси[From.GetLasLsya] в бой подобно сказочному герою прошлого, и когда [From.GetSheHe] встретил[From.GetEndA] свою судьбу, это выглядело, как нелепая случайность. Свидетели утверждают, что [From.GetSheHe] споткну[From.GetLasLsya] и упал[From.GetEndA] на копьё своего товарища.\n[From.GetHersHisCap] идея потерпела крах, непобедим[From.GetAyaYy] носитель[From.GetEndNitsa] злого рока погиб[From.GetNoneE] по воле случая, что может быть лучше?;x
EVTOPTA_RIP_15116;Наконец-то!;x
EoD_uprising_troops_ARMY;Армия;x
EVTDESC_GBC_1;[Root.PrimaryTitle.GetFOA], с прискорбием вынуждены сообщить, что минувшим утром [GBC_dead_one.GetTitledFirstName] сконча[GBC_dead_one.GetLasLsya] от чумы.;x
EVTNAME_GBC_2;Грустная ночь;x
EVTDESC_GBC_2;Прошло уже некоторое время с тех пор, как [GBC_dead_one.GetTitledName] покинул[GBC_dead_one.GetEndA] этот бренный мир, но мысли о н[GBC_dead_one.GetEyYom] не покидают Вас. Иногда по утрам, Вас преследует образ [GBC_dead_one.GetHersHis] лица, покрытого чёрными пятнами. Или же за ужином, когда подают [GBC_dead_one.GetHersHis] любимые блюда. Но, что Вы можете сделать? Быть может, назвать следующего новорождённого при дворе в честь н[GBC_dead_one.GetHersHis]?\nЧасто по ночами Вас мучают сомнения. Когда всё вокруг затихает, и Вы остаётесь наедине со своими мыслями. Почему? За что столь ужасная судьба постигла [GBC_dead_one.GetHersHis]. Неужели [Root.Religion.GetHighGodName] этого пожелал[Root.GetHGodEndA]?;x
EVTOPTA_GBC_2;Не могу поверить, что [GBC_dead_one.GetHersHis] больше нет.;x
EVTDESC_GBC_3_A;[GBC_dead_one.GetTitledName]... [GBC_dead_one.GetHersHisCap] больше нет, и я не могу перестать думать об этом. Что ждёт нас после смерти? [Root.GetLordSpiritualName] советует мне заглянуть внутрь себя, и тогда [Root.Religion.GetHighGodName] в своей бесконечной мудрости поможет мне это понять. Но, когда я од[Root.GetNaIn], в темноте, высшие силы не помогают мне.;x
EVTDESC_GBC_3_B;[GBC_dead_one.GetTitledName]... [GBC_dead_one.GetHersHisCap] больше нет, и я не могу перестать думать об этом. Что ждёт нас после смерти? Я пытаюсь заглянуть в себя и найти ответы. Кажется, [Root.Religion.GetHighGodName] поддерживает меня, но когда я остаюсь од[Root.GetNaIn] в темноте, то не могу найти Его.;x
EVTOPTA_GBC_3;Я долж[Root.GetNaEn] с кем-то поговорить об этом...;x
EVTOPTB_GBC_3;Никто не понимает меня.;x
EVTDESC_GBC_5;[GBC_new_friend.GetTitledFirstName] сегодня встретил[GBC_new_friend.GetEndA] меня около могилы, которую я в последнее время посещаю чуть ли не каждый день. "[GBC_dead_one.GetTitledName]... Нам всем [GBC_dead_one.GetHersHis] не хватает. Но [Root.GetTitle] не долж[Root.GetNaEn] показывать своё горе. Понимаю, это тяжело", — спокойно сказал[GBC_new_friend.GetEndA] [GBC_new_friend.GetSheHe].;x
EVTOPTA_GBC_5;Но я - живой человек, они должны понять это.;x
EVTOPTB_GBC_5;Я в порядке, поверь мне. Не будем больше об этом.;x
EVTDESC_GBC_6;[GBC_new_friend.GetFirstName] рассказал[GBC_new_friend.GetEndA] мне, что [GBC_dead_one.GetTitledName] увлека[GBC_dead_one.GetLasLsya] птицами. Я и понятия не имел[Root.GetEndA]. Оказывается, у н[GBC_dead_one.GetHersHis] была ручная сова. "Это Геката. Похоже, Вы ей нравитесь", — с лёгкой улыбкой сказал[GBC_new_friend.GetEndA] [GBC_new_friend.GetFirstName], поглаживая её голову.;x
EVTOPTA_GBC_6;Какое милое создание!;x
EVTOPTB_GBC_6;Я не могу её взять.;x
pet_owl;Ручная сова;x
EVTDESC_GBC_73;Сегодня на заседании м[GBC_nice_councillor.GetOyaOy] советни[GBC_nice_councillor.GetTsaK] [GBC_nice_councillor.GetFirstName], нахмурив брови, высказал[GBC_nice_councillor.GetEndA] свои замечания: "[Root.PrimaryTitle.GetFOA], не могу не заметить, что Ваш[GBC_new_friend.GetEndA] родственни[GBC_new_friend.GetTsaK] [GBC_new_friend.GetFirstName] посещает Вас гораздо чаще обычного. Не знал[GBC_nice_councillor.GetEndA], что вы столь близки".;x
EVTOPTA_GBC_73;Полагаю, горе объединило нас.;x
EVTOPTB_GBC_73;Не понимаю, о чём Вы говорите.;x
